idZone,nameZone,idQuartier,piece,epoque,type,ref_2015,ref_2016,refmin_2015,refmin_2016,refmaj_2015,refmaj_2016
12,Maison-Blanche,51,1 pièce,avant 1946,Meublée,32.6,32.9,22.8,23.0,39.1,39.5
12,Plaisance,56,1 pièce,avant 1946,Meublée,32.6,32.9,22.8,23.0,39.1,39.5
13,Gare,50,1 pièce,avant 1946,Meublée,27.8,27.4,19.5,19.2,33.4,32.9
13,La Chapelle,72,1 pièce,avant 1946,Meublée,27.8,27.4,19.5,19.2,33.4,32.9
13,Villette,73,1 pièce,avant 1946,Meublée,27.8,27.4,19.5,19.2,33.4,32.9
13,Pont-de-Flandre,74,1 pièce,avant 1946,Meublée,27.8,27.4,19.5,19.2,33.4,32.9
13,Amérique,75,1 pièce,avant 1946,Meublée,27.8,27.4,19.5,19.2,33.4,32.9
13,Saint-Fargeau,78,1 pièce,avant 1946,Meublée,27.8,27.4,19.5,19.2,33.4,32.9
13,Charonne,80,1 pièce,avant 1946,Meublée,27.8,27.4,19.5,19.2,33.4,32.9
14,Bel-Air,45,1 pièce,avant 1946,Meublée,27.1,28.9,19.0,20.2,32.5,34.7
14,Bercy,47,1 pièce,avant 1946,Meublée,27.1,28.9,19.0,20.2,32.5,34.7
14,Combat,76,1 pièce,avant 1946,Meublée,27.1,28.9,19.0,20.2,32.5,34.7
14,Père-Lachaise,79,1 pièce,avant 1946,Meublée,27.1,28.9,19.0,20.2,32.5,34.7
1,Notre-Dame-des-Champs,23,1 pièce,1946-1970,Non meublée,29.3,29.3,20.5,20.5,35.2,35.2
1,Saint-Thomas-d'Aquin,25,1 pièce,1946-1970,Non meublée,29.3,29.3,20.5,20.5,35.2,35.2
1,Invalides,26,1 pièce,1946-1970,Non meublée,29.3,29.3,20.5,20.5,35.2,35.2
1,Ecole-Militaire,27,1 pièce,1946-1970,Non meublée,29.3,29.3,20.5,20.5,35.2,35.2
1,Gros-Caillou,28,1 pièce,1946-1970,Non meublée,29.3,29.3,20.5,20.5,35.2,35.2
2,St-Germain-l'Auxerrois,1,1 pièce,1946-1970,Non meublée,31.4,31.5,22.0,22.1,37.7,37.8
2,Palais-Royal,3,1 pièce,1946-1970,Non meublée,31.4,31.5,22.0,22.1,37.7,37.8
2,Place-Vendôme,4,1 pièce,1946-1970,Non meublée,31.4,31.5,22.0,22.1,37.7,37.8
2,Gaillon,5,1 pièce,1946-1970,Non meublée,31.4,31.5,22.0,22.1,37.7,37.8
2,Saint-Merri,13,1 pièce,1946-1970,Non meublée,31.4,31.5,22.0,22.1,37.7,37.8
2,Arsenal,15,1 pièce,1946-1970,Non meublée,31.4,31.5,22.0,22.1,37.7,37.8
2,Notre-Dame,16,1 pièce,1946-1970,Non meublée,31.4,31.5,22.0,22.1,37.7,37.8
2,Monnaie,21,1 pièce,1946-1970,Non meublée,31.4,31.5,22.0,22.1,37.7,37.8
2,Odeon,22,1 pièce,1946-1970,Non meublée,31.4,31.5,22.0,22.1,37.7,37.8
2,Saint-Germain-des-Près,24,1 pièce,1946-1970,Non meublée,31.4,31.5,22.0,22.1,37.7,37.8
2,Champs-Elysés,29,1 pièce,1946-1970,Non meublée,31.4,31.5,22.0,22.1,37.7,37.8
2,Faubourg-du-Roule,30,1 pièce,1946-1970,Non meublée,31.4,31.5,22.0,22.1,37.7,37.8
2,Madeleine,31,1 pièce,1946-1970,Non meublée,31.4,31.5,22.0,22.1,37.7,37.8
2,Chaussée d'Antin,34,1 pièce,1946-1970,Non meublée,31.4,31.5,22.0,22.1,37.7,37.8
3,Europe,32,1 pièce,1946-1970,Non meublée,26.3,26.3,18.4,18.4,31.6,31.6
3,Muette,62,1 pièce,1946-1970,Non meublée,26.3,26.3,18.4,18.4,31.6,31.6
3,Porte-Dauphine,63,1 pièce,1946-1970,Non meublée,26.3,26.3,18.4,18.4,31.6,31.6
3,Chaillot,64,1 pièce,1946-1970,Non meublée,26.3,26.3,18.4,18.4,31.6,31.6
4,Vivienne,6,1 pièce,1946-1970,Non meublée,27.8,27.9,19.5,19.5,33.4,33.5
4,Mail,7,1 pièce,1946-1970,Non meublée,27.8,27.9,19.5,19.5,33.4,33.5
4,Bonne-Nouvelle,8,1 pièce,1946-1970,Non meublée,27.8,27.9,19.5,19.5,33.4,33.5
4,Arts-et-Metiers,9,1 pièce,1946-1970,Non meublée,27.8,27.9,19.5,19.5,33.4,33.5
4,Enfants-Rouges,10,1 pièce,1946-1970,Non meublée,27.8,27.9,19.5,19.5,33.4,33.5
4,Archives,11,1 pièce,1946-1970,Non meublée,27.8,27.9,19.5,19.5,33.4,33.5
4,Sainte-Avoie,12,1 pièce,1946-1970,Non meublée,27.8,27.9,19.5,19.5,33.4,33.5
4,Saint-Gervais,14,1 pièce,1946-1970,Non meublée,27.8,27.9,19.5,19.5,33.4,33.5
4,Saint-Victor,17,1 pièce,1946-1970,Non meublée,27.8,27.9,19.5,19.5,33.4,33.5
4,Val-de-Grace,19,1 pièce,1946-1970,Non meublée,27.8,27.9,19.5,19.5,33.4,33.5
4,Sorbonne,20,1 pièce,1946-1970,Non meublée,27.8,27.9,19.5,19.5,33.4,33.5
5,Halles,2,1 pièce,1946-1970,Non meublée,23.3,24.2,16.3,16.9,28.0,29.0
5,Saint-Georges,33,1 pièce,1946-1970,Non meublée,23.3,24.2,16.3,16.9,28.0,29.0
5,Faubourg-Montmartre,35,1 pièce,1946-1970,Non meublée,23.3,24.2,16.3,16.9,28.0,29.0
5,Rochechouart,36,1 pièce,1946-1970,Non meublée,23.3,24.2,16.3,16.9,28.0,29.0
5,Saint-Vincent-de-Paul,37,1 pièce,1946-1970,Non meublée,23.3,24.2,16.3,16.9,28.0,29.0
5,Porte-Saint-Denis,38,1 pièce,1946-1970,Non meublée,23.3,24.2,16.3,16.9,28.0,29.0
5,Croulebarbe,52,1 pièce,1946-1970,Non meublée,23.3,24.2,16.3,16.9,28.0,29.0
5,Montparnasse,53,1 pièce,1946-1970,Non meublée,23.3,24.2,16.3,16.9,28.0,29.0
6,Necker,58,1 pièce,1946-1970,Non meublée,25.0,25.2,17.5,17.6,30.0,30.2
6,Ternes,65,1 pièce,1946-1970,Non meublée,25.0,25.2,17.5,17.6,30.0,30.2
6,Plaine de Monceau,66,1 pièce,1946-1970,Non meublée,25.0,25.2,17.5,17.6,30.0,30.2
7,Grenelle,59,1 pièce,1946-1970,Non meublée,25.1,25.2,17.6,17.6,30.1,30.2
7,Javel,60,1 pièce,1946-1970,Non meublée,25.1,25.2,17.6,17.6,30.1,30.2
7,Auteuil,61,1 pièce,1946-1970,Non meublée,25.1,25.2,17.6,17.6,30.1,30.2
